NUTR_FOOD_NAME,NUTR_SAT_FAT_g,NUTR_SERV_SIZE_g,NUTR_CALORIES_g,NUTR_TOTAL_FAT_g,NUTR_CHOLEST_g,NUTR_SODIUM_mg,NUTR_CHOLINE_mg,NUTR_FOLATE_mcg,NUTR_FOLIC_ACID_mcg,NUTR_NIACIN_mg,NUTR_PANT_ACID_mg,NUTR_RIBOFLAVIN_mg,NUTR_THIAMIN_mg,NUTR_VIT_A_IU,NUTR_VIT_A_RAE_mcg,NUTR_CAROT_ALPHA_mcg,NUTR_CAROT_BETA_mcg,NUTR_CRYPTO_BETA_mcg,NUTR_LUTEIN_ZEAX_mcg,NUTR_LUCOPENE,NUTR_VIT_B12_mcg,NUTR_VIT_B6_mg,NUTR_VIT_C_mg,NUTR_VIT_D_IU,NUTR_VIT_E_mg,NUTR_TOCOPHEROL_ALPHA_mg,NUTR_VIT_K_mcg,NUTR_CALCIUM_mg,NUTR_COPPER_mg,NUTR_IRON_mg,NUTR_MAGNES_mg,NUTR_MANGANESE_mg,NUTR_PHOSPHOROUS_mg,NUTR_POTASSIUM_mg,NUTR_SELENIUM_mcg,NUTR_ZINC_mg,NUTR_PROTEIN_g,NUTR_ALANINE_g,NUTR_ARGININE_g,NUTR_ASPART_ACID_g,NUTR_CYSTINE_g,NUTR_GLUT_ACID_g,NUTR_GLYCINE_g,NUTR_HISTIDINE_g,NUTR_HYDROXYPROLINE_g,NUTR_ISOLEUCINE_g,NUTR_LEUCINE_g,NUTR_LYSINE_g,NUTR_METHIONINE_g,NUTR_PHENYL_g,NUTR_PROLINE_g,NUTR_SERINE_g,NUTR_THREONINE_g,NUTR_TRYPTOPHAN_g,NUTR_TYROSINE_g,NUTR_VALINE_g,NUTR_CARBOHYDRATE_g,NUTR_FIBER_g,NUTR_SUGARS_g,NUTR_FRUCTOSE_g,NUTR_GALACTOSE_g,NUTR_GLUCOSE_g,NUTR_LACTOSE_g,NUTR_MALTOSE_g,NUTR_SUCROSE_g,NUTR_FAT_g,NUTR_SAT_FATTY_ACIDS_g,NUTR_MONO_FATTY_ACIDS_g,NUTR_POLYUN_FATTY_ACIDS_g,NUTR_FATTY_ACIDS_TOTAL_TRANS_mg,NUTR_ALCOHOL_g,NUTR_ASH_g,NUTR_CAFFEINE_mg,NUTR_THEOBROMINE_mg,NUTR_WATER_g,CATEGORICAL_CAL,FOOD_CAT1,FOOD_CAT2,SOURCE_KEY,MRG_KEY
"Potatoes, unprepared, frozen, o'brien",0.0,100,76,0.1,0,33.0,0.0,8.0,0.0,1.129,0.428,0.045,0.054,148.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.209,11.3,0.0,0.0,0.0,0.0,13.0,0.127,1.03,18.0,0.119,49.0,249.0,1.2,0.29,1.83,0.057,0.091,0.421,0.025,0.302,0.056,0.039,0.0,0.073,0.107,0.108,0.028,0.078,0.066,0.078,0.065,0.028,0.065,0.098,17.47,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.032,0.006,0.061,0.0,0.0,0.6,0.0,0.0,79.97,Low,Potatoes,Not Categorized,NUTRITIONAL,1
"Ground turkey, raw, 15% fat, 85% lean",3.4,100,180,13.0,78,54.0,51.6,6.0,0.0,5.075,1.1,0.177,0.067,101.0,30.0,0.0,0.0,0.0,0.0,0,1.3,0.485,0.0,14.0,0.08,0.08,0.0,33.0,0.123,1.32,19.0,0.009,179.0,202.0,24.6,2.75,16.9,1.053,1.227,1.633,0.179,2.706,0.925,0.501,0.2,0.757,1.396,1.512,0.497,0.659,0.748,0.718,0.776,0.192,0.599,0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,3.414,4.551,3.485,78.0,0.0,0.96,0.0,0.0,69.74,Medium,Ground,Not Categorized,NUTRITIONAL,1
"Seeds, dried, watermelon seed kernels",9.8,100,557,47.0,0,99.0,0.0,58.0,0.0,3.55,0.346,0.145,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,54.0,0.686,7.28,515.0,1.614,755.0,648.0,0.0,10.24,28.33,1.492,4.897,2.764,0.438,5.699,1.663,0.775,0.0,1.342,2.149,0.887,0.834,2.031,1.251,1.508,1.112,0.39,1.016,1.556,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.37,9.779,7.407,28.094,0.0,0.0,3.94,0.0,0.0,5.05,Medium,Seeds,Not Categorized,NUTRITIONAL,1
"Candies, REESE'S NUTRAGEOUS Candy Bar",8.9,100,517,32.0,3,141.0,0.0,56.0,0.0,5.25,0.54,0.1,0.18,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,68.0,0.27,1.23,68.0,0.0,175.0,364.0,0.2,1.29,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8,3.9,40.22,0.0,0.0,0.0,0.0,0.0,0.0,32.09,8.86,12.63,8.09,3.0,0.0,2.18,0.0,0.0,1.5,Medium,Candies,Not Categorized,NUTRITIONAL,1
"Puddings, instant, dry mix, chocolate",0.8,100,378,1.9,0,1771.0,3.4,3.0,0.0,0.234,0.025,0.055,0.01,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.012,0.0,0.0,0.07,0.07,1.5,12.0,0.354,1.29,45.0,0.367,72.0,236.0,2.5,0.62,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9,3.6,67.86,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.825,0.487,0.348,0.0,0.0,4.7,7.0,245.0,3.2,Medium,Puddings,Not Categorized,NUTRITIONAL,1
"Puddings, regular, dry mix, chocolate",1.2,100,362,2.1,0,479.0,1.6,4.0,0.0,0.33,0.035,0.071,0.015,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0.016,0.0,0.0,0.01,0.01,0.3,53.0,0.518,1.82,67.0,0.537,88.0,209.0,3.3,0.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,4.5,42.88,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.234,0.703,0.079,0.0,0.0,2.0,11.0,362.0,4.0,Medium,Puddings,Not Categorized,NUTRITIONAL,1
"Snacks, barbecue-flavor, potato chips",4.0,100,487,31.0,0,545.0,11.5,64.0,0.0,4.957,0.85,0.119,0.221,393.0,20.0,5.0,203.0,60.0,151.0,0,0.0,0.375,62.4,0.0,4.42,4.42,16.1,32.0,0.247,1.36,58.0,0.385,145.0,1186.0,0.4,0.98,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.92,3.8,5.47,0.0,0.0,0.0,0.0,0.0,0.0,31.06,4.002,13.221,12.207,0.0,0.0,4.03,0.0,0.0,2.48,Medium,Snacks,Not Categorized,NUTRITIONAL,1
"Snacks, salted, plain, hard, pretzels",0.4,100,384,2.9,0,1240.0,29.5,166.0,0.0,5.27,0.322,0.332,0.424,0.0,0.0,0.0,0.0,0.0,9.0,0,0.0,0.074,2.1,0.0,0.47,0.47,2.8,27.0,0.156,4.58,29.0,1.015,128.0,223.0,4.4,1.04,10.04,0.34,0.363,0.597,0.17,3.647,0.417,0.22,0.0,0.407,0.757,0.257,0.177,0.52,1.199,0.0,0.25,0.097,0.324,0.48,80.39,3.4,2.21,0.31,0.0,0.69,0.0,1.11,0.0,2.93,0.391,0.727,1.291,0.0,0.0,3.51,0.0,0.0,3.13,Medium,Snacks,Not Categorized,NUTRITIONAL,1
"Gourd, raw, white-flowered (calabash)",0.0,100,14,0.0,0,2.0,0.0,6.0,0.0,0.32,0.152,0.022,0.029,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.04,10.1,0.0,0.0,0.0,0.0,26.0,0.026,0.2,11.0,0.066,13.0,150.0,0.2,0.7,0.62,0.0,0.014,0.0,0.0,0.0,0.0,0.004,0.0,0.033,0.036,0.021,0.004,0.015,0.0,0.0,0.018,0.003,0.0,0.027,3.39,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.002,0.004,0.009,0.0,0.0,0.43,0.0,0.0,95.54,Low,Gourd,Not Categorized,NUTRITIONAL,1
"Cereals, dry, instant, CREAM OF WHEAT",0.2,100,366,1.4,0,571.0,23.1,357.0,323.0,17.857,0.474,1.214,1.339,4464.0,1341.0,0.0,0.0,0.0,16.0,0,0.0,1.786,0.0,0.0,0.11,0.11,0.5,357.0,0.216,28.6,34.0,0.0,103.0,115.0,20.0,0.98,10.6,0.369,0.457,0.498,0.238,3.928,0.408,0.242,0.0,0.46,0.8,0.272,0.196,0.571,1.289,0.596,0.332,0.145,0.335,0.513,75.5,3.3,0.4,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.222,0.192,0.774,0.0,0.0,2.1,0.0,0.0,10.4,Medium,Cereals,Not Categorized,NUTRITIONAL,1
"Pie, commercially prepared, blueberry",1.7,100,232,10.0,0,287.0,7.2,27.0,23.0,0.3,0.136,0.03,0.01,140.0,44.0,0.0,39.0,0.0,15.0,0,0.01,0.037,2.7,0.0,1.04,1.04,10.5,8.0,0.046,0.3,5.0,0.176,23.0,50.0,1.4,0.16,1.8,0.057,0.072,0.082,0.039,0.58,0.063,0.037,0.0,0.069,0.125,0.062,0.031,0.086,0.195,0.094,0.051,0.025,0.051,0.08,34.9,1.0,9.89,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.679,4.244,3.524,0.0,0.0,0.8,0.0,0.0,52.5,Medium,Pie,Not Categorized,NUTRITIONAL,1
"Babyfood, junior, carrots, vegetables",0.0,100,32,0.2,0,49.0,8.0,17.0,0.0,0.497,0.278,0.041,0.024,11810.0,591.0,2682.0,5745.0,0.0,230.0,0,0.0,0.08,5.5,0.0,0.52,0.52,12.5,23.0,0.047,0.39,11.0,0.0,20.0,202.0,0.2,0.18,0.8,0.041,0.052,0.127,0.006,0.225,0.022,0.013,0.0,0.024,0.033,0.021,0.009,0.025,0.021,0.024,0.023,0.011,0.02,0.031,7.2,1.7,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.036,0.009,0.093,0.0,0.0,0.7,0.0,0.0,91.0,Low,Babyfood,Not Categorized,NUTRITIONAL,1
"Veal, raw, separable lean only, shank",0.6,100,94,1.6,62,109.0,99.9,3.0,0.0,5.37,0.66,0.39,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0,1.92,0.403,0.0,27.0,0.15,0.15,0.9,11.0,0.103,1.19,33.0,0.01,212.0,163.0,13.0,3.42,19.77,1.176,1.163,1.706,0.223,3.127,1.016,0.718,0.1,0.974,1.573,1.629,0.461,0.798,0.825,0.741,0.864,0.2,0.63,1.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.639,0.758,0.104,62.0,0.0,0.98,0.0,0.0,77.96,Low,Veal,Meat,NUTRITIONAL,1
"Sauce, original, BULL'S-EYE, barbecue",0.1,100,170,0.7,0,1012.0,0.0,0.0,0.0,0.637,0.195,0.063,0.03,320.0,16.0,0.0,190.0,5.0,100.0,0,0.0,0.09,0.3,0.0,0.91,0.91,0.0,43.0,0.089,0.69,16.0,0.136,22.0,263.0,0.0,0.17,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.95,1.0,35.29,5.39,0.0,5.19,0.0,0.0,24.71,0.67,0.101,0.216,0.349,0.0,0.0,3.19,0.0,0.0,55.28,Medium,Sauce,Not Categorized,NUTRITIONAL,1
"Sauce, ready-to-serve, sweet and sour",0.0,100,150,0.0,0,371.0,2.4,8.0,0.0,0.187,0.093,0.019,0.048,10.0,1.0,0.0,6.0,0.0,0.0,0,0.0,0.053,8.7,0.0,0.01,0.01,0.2,10.0,0.079,0.21,8.0,0.761,7.0,99.0,0.4,0.09,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.22,0.1,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,60.27,Medium,Sauce,Not Categorized,NUTRITIONAL,1
"Pork, raw, 84% lean / 16% fat, ground",4.9,100,218,16.0,68,68.0,61.5,2.0,0.0,6.416,0.639,0.338,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0,0.73,0.551,0.0,17.0,0.45,0.45,0.0,15.0,0.032,0.88,16.0,0.01,161.0,244.0,30.2,1.91,17.99,1.06,1.173,1.62,0.208,2.658,1.005,0.711,0.168,0.822,1.435,1.547,0.48,0.766,0.883,0.722,0.763,0.232,0.762,0.905,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.93,6.68,2.05,68.0,0.0,0.91,0.0,0.0,64.67,Medium,Pork,Not Categorized,NUTRITIONAL,1
"MURRAY, Duplex Creme Sandwich Cookies",6.2,100,475,19.0,0,412.0,0.0,67.0,0.0,2.8,0.0,0.23,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,23.0,0.0,83.0,93.0,0.0,0.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,1.8,37.6,0.0,0.0,0.0,0.0,0.0,0.0,18.8,6.2,4.3,6.9,0.0,0.0,0.0,0.0,0.0,2.5,Medium,MURRAY,Not Categorized,NUTRITIONAL,1
"Candies, KIT KAT BIG KAT Bar, HERSHEY",18.0,100,520,28.0,9,64.0,0.0,3.0,0.0,0.18,0.04,0.17,0.05,92.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,138.0,0.01,0.84,2.0,0.0,112.0,294.0,0.0,0.07,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.64,1.9,53.96,0.0,0.0,0.0,0.0,0.0,0.0,27.84,17.99,4.91,0.51,9.0,0.0,0.96,0.0,0.0,1.1,Medium,Candies,Not Categorized,NUTRITIONAL,1
"Spanish rice mix, unprepared, dry mix",0.4,100,363,1.6,0,1085.0,0.0,162.0,0.0,7.179,0.626,0.288,0.822,469.0,23.0,1.0,255.0,52.0,245.0,0,0.0,0.248,0.0,0.0,0.86,0.86,2.7,29.0,0.19,3.32,37.0,0.79,146.0,445.0,33.1,1.03,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.45,3.1,3.83,0.91,0.0,1.36,0.0,0.93,0.62,1.62,0.395,0.341,0.604,0.0,0.0,4.04,0.0,0.0,7.27,Medium,Spanish,Not Categorized,NUTRITIONAL,1
"Fish, smoked, mixed species, sturgeon",1.0,100,173,4.4,80,739.0,87.3,20.0,0.0,11.1,1.0,0.09,0.09,933.0,280.0,0.0,0.0,0.0,0.0,0,2.9,0.27,0.0,642.0,0.5,0.5,0.1,17.0,0.05,0.93,47.0,0.03,281.0,379.0,20.1,0.56,31.2,1.887,1.867,3.195,0.334,4.658,1.498,0.919,0.0,1.438,2.536,2.865,0.924,1.218,1.103,1.273,1.368,0.349,1.053,1.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.037,2.356,0.436,80.0,0.0,1.9,0.0,0.0,62.5,Medium,Fish,Meat,NUTRITIONAL,1
"Waffles, ready-to-heat, frozen, plain",1.5,100,285,9.7,14,638.0,0.0,68.0,57.0,7.575,0.315,0.62,0.62,1271.0,381.0,0.0,1.0,1.0,48.0,0,2.93,0.898,0.0,0.0,1.05,1.05,7.8,308.0,0.043,5.61,23.0,0.225,361.0,125.0,12.2,0.59,6.47,0.241,0.259,0.394,0.157,1.631,0.207,0.133,0.0,0.268,0.474,0.28,0.12,0.279,0.55,0.324,0.228,0.076,0.134,0.304,42.98,2.2,4.91,0.0,0.0,0.0,1.48,0.26,3.16,9.7,1.531,5.129,2.165,14.0,0.0,2.9,0.0,0.0,37.95,Medium,Waffles,Not Categorized,NUTRITIONAL,1
"Gravy, microwavable, beef, CAMPBELL'S",0.8,100,42,1.7,0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.847,0.0,0.0,0.0,0.0,1.53,0.0,0.0,90.0,Low,Gravy,Not Categorized,NUTRITIONAL,1
"Snacks, salted, yucca (cassava) chips",8.7,100,515,26.0,0,296.0,0.0,0.0,0.0,1.197,0.89,0.027,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13,0.0,0.0,2.78,2.78,5.3,52.0,0.115,0.72,46.0,0.282,99.0,868.0,4.9,0.85,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,3.7,3.36,0.0,0.0,0.0,0.0,0.0,0.0,25.91,8.689,7.443,6.912,0.0,0.0,2.7,0.0,0.0,2.8,Medium,Snacks,Not Categorized,NUTRITIONAL,1
"Candies, prepared-from-recipe, toffee",21.0,100,560,33.0,104,135.0,0.0,2.0,0.0,0.029,0.134,0.068,0.008,1152.0,319.0,0.0,64.0,0.0,0.0,0,0.11,0.009,0.2,0.0,0.94,0.94,2.8,34.0,0.003,0.03,4.0,0.002,32.0,51.0,0.8,0.12,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.72,0.0,63.47,0.0,0.0,0.0,0.0,0.0,0.0,32.75,20.565,8.964,1.222,104.0,0.0,0.66,0.0,0.0,0.55,Medium,Candies,Not Categorized,NUTRITIONAL,1
"Collards, unprepared, chopped, frozen",0.0,100,33,0.4,0,48.0,0.0,73.0,0.0,0.641,0.11,0.11,0.05,9183.0,459.0,0.0,5510.0,0.0,0.0,0,0.0,0.115,40.0,0.0,0.0,0.0,0.0,201.0,0.053,1.07,29.0,0.633,27.0,253.0,1.4,0.26,2.69,0.116,0.138,0.206,0.027,0.225,0.103,0.051,0.0,0.109,0.167,0.128,0.037,0.096,0.115,0.087,0.095,0.035,0.073,0.131,6.46,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.048,0.027,0.178,0.0,0.0,0.95,0.0,0.0,89.53,Low,Collards,Not Categorized,NUTRITIONAL,1
"Cornmeal, white, unenriched, degermed",0.2,100,370,1.8,0,7.0,8.6,30.0,0.0,1.0,0.24,0.05,0.14,3.0,0.0,0.0,1.0,1.0,5.0,0,0.0,0.182,0.0,0.0,0.12,0.12,0.0,3.0,0.076,1.1,32.0,0.174,99.0,142.0,10.5,0.66,7.11,0.56,0.239,0.465,0.159,1.455,0.217,0.172,0.0,0.242,1.006,0.105,0.162,0.366,0.746,0.341,0.172,0.038,0.187,0.337,79.45,3.9,1.61,0.17,0.0,0.56,0.0,0.19,0.68,1.75,0.22,0.39,0.828,0.0,0.0,0.51,0.0,0.0,11.18,Medium,Cornmeal,Vegetable,NUTRITIONAL,1
"Soup, ready to serve, vegetable broth",0.0,100,5,0.1,0,296.0,0.3,0.0,0.0,0.11,0.06,0.022,0.023,238.0,12.0,64.0,111.0,0.0,1.0,0,0.0,0.007,0.4,0.0,0.0,0.0,0.7,3.0,0.009,0.06,1.0,0.006,3.0,19.0,0.0,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.55,0.03,0.0,0.13,0.0,0.0,0.38,0.07,0.028,0.005,0.004,0.0,0.0,0.71,0.0,0.0,98.05,Low,Soup,Not Categorized,NUTRITIONAL,1
"Lemonade, prepared with water, powder",0.0,100,14,0.0,0,6.0,0.0,0.0,0.0,0.005,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001,1.5,0.0,0.01,0.01,0.0,4.0,0.011,0.01,10.0,0.001,0.0,6.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,3.5,0.65,0.0,0.1,0.0,0.0,2.75,0.04,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,96.26,Low,Lemonade,Not Categorized,NUTRITIONAL,1
"Peaches, drained, heavy syrup, canned",0.0,100,72,0.2,0,6.0,3.8,9.0,0.0,0.625,0.024,0.02,0.02,626.0,31.0,0.0,333.0,85.0,33.0,0,0.0,0.013,0.7,0.0,1.19,1.19,2.4,3.0,0.063,0.27,5.0,0.0,12.0,94.0,0.0,0.09,0.52,0.016,0.01,0.238,0.007,0.032,0.012,0.007,0.0,0.01,0.016,0.017,0.005,0.011,0.01,0.018,0.009,0.005,0.008,0.012,18.43,1.2,14.66,3.45,0.0,5.82,0.0,1.44,3.95,0.18,0.013,0.047,0.066,0.0,0.0,0.26,0.0,0.0,80.62,Low,Peaches,Fruit,NUTRITIONAL,1
"Restaurant, onion rings, family style",3.4,100,356,19.0,0,692.0,0.0,14.0,0.0,0.818,0.38,0.078,0.117,17.0,1.0,1.0,6.0,4.0,42.0,0,0.0,0.083,0.0,0.0,1.27,1.27,42.6,21.0,0.088,0.71,19.0,0.471,94.0,142.0,5.0,0.51,4.89,0.149,0.23,0.22,0.12,1.508,0.179,0.109,0.0,0.163,0.332,0.111,0.073,0.226,0.624,0.181,0.105,0.046,0.103,0.2,40.72,2.6,4.68,1.14,0.0,1.25,0.0,1.12,1.17,19.28,3.415,4.217,9.83,0.0,0.0,2.21,0.0,0.0,32.9,Medium,Restaurant,Not Categorized,NUTRITIONAL,1
"Frostings, dry mix, creamy, chocolate",0.0,100,389,5.2,0,76.0,0.0,3.0,0.0,0.142,0.029,0.029,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,11.0,0.294,1.19,38.0,0.333,62.0,180.0,1.6,0.81,1.3,0.062,0.076,0.133,0.016,0.202,0.06,0.023,0.0,0.052,0.082,0.067,0.014,0.064,0.058,0.058,0.053,0.02,0.05,0.08,92.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.6,6.0,188.0,0.6,Medium,Frostings,Not Categorized,NUTRITIONAL,1
"Beans, raw, mature seeds, red, kidney",0.2,100,337,1.1,0,12.0,65.9,394.0,0.0,2.11,0.78,0.215,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.397,4.5,0.0,0.21,0.21,5.6,83.0,0.699,6.69,138.0,1.111,406.0,1359.0,3.2,2.79,22.53,0.945,1.395,2.725,0.245,3.436,0.88,0.627,0.0,0.995,1.799,1.547,0.339,1.218,0.955,1.226,0.948,0.267,0.634,1.179,61.29,15.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.154,0.082,0.586,0.0,0.0,3.37,0.0,0.0,11.75,Medium,Beans,Not Categorized,NUTRITIONAL,1
"Moose, braised (Alaska Native), liver",0.0,100,155,4.9,389,70.0,0.0,217.0,0.0,10.72,4.57,4.1,0.196,96000.0,0.0,0.0,0.0,0.0,0.0,0,71.0,0.91,22.6,0.0,0.0,0.0,0.0,7.0,2.789,6.77,20.0,0.413,429.0,235.0,0.0,6.07,24.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.65,1.07,389.0,0.0,1.3,0.0,0.0,66.0,Medium,Moose,Not Categorized,NUTRITIONAL,1
"Apples, unheated, unsweetened, frozen",0.1,100,48,0.3,0,3.0,0.0,1.0,0.0,0.042,0.054,0.011,0.013,34.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.034,0.1,0.0,0.0,0.0,0.0,4.0,0.058,0.18,3.0,0.169,8.0,77.0,0.2,0.05,0.28,0.01,0.009,0.048,0.004,0.029,0.011,0.004,0.0,0.011,0.017,0.017,0.003,0.008,0.009,0.011,0.01,0.003,0.005,0.013,12.31,1.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.053,0.013,0.095,0.0,0.0,0.24,0.0,0.0,86.85,Low,Apples,Fruit,NUTRITIONAL,1
"Oil, sunflower, mid-oleic, industrial",9.0,100,884,100.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.08,41.08,5.4,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.009,57.334,28.962,0.0,0.0,0.0,0.0,0.0,0.0,High,Oil,Not Categorized,NUTRITIONAL,1
"Fish, dry heat, cooked, striped, bass",0.7,100,124,3.0,103,88.0,0.0,10.0,0.0,2.558,0.865,0.037,0.115,104.0,31.0,0.0,0.0,0.0,0.0,0,4.41,0.346,0.0,0.0,0.0,0.0,0.0,19.0,0.04,1.08,51.0,0.019,254.0,328.0,46.8,0.51,22.73,1.375,1.36,2.328,0.244,3.393,1.091,0.669,0.0,1.047,1.848,2.088,0.673,0.887,0.804,0.927,0.997,0.255,0.767,1.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.65,0.846,1.005,103.0,0.0,1.33,0.0,0.0,73.36,Medium,Fish,Meat,NUTRITIONAL,1
"Mouse nuts, seedlings (Alaska Native)",0.0,100,104,1.1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,73.0,Low,Mouse,Not Categorized,NUTRITIONAL,1
